Disease,HomeRemedy1,HomeRemedy2,HomeRemedy3,HomeRemedy4
Common Cold,Drink warm ginger tea with honey,Get plenty of rest and sleep,Stay hydrated with warm water,Gargle with salt water
Flu,Take steam inhalation with eucalyptus oil,Consume chicken soup for strength,Use turmeric milk before bed,Rest for at least 2-3 days
COVID-19,Isolate immediately to prevent spread,Monitor oxygen levels regularly,Stay hydrated with warm liquids,Consult doctor for proper medication
Migraine,Apply cold compress to forehead,Rest in dark quiet room,Stay hydrated and avoid triggers,Practice deep breathing exercises
Allergy,Avoid known allergens like dust/pollen,Take antihistamines as prescribed,Use saline nasal rinse,Keep windows closed during high pollen
Asthma,Use prescribed inhaler immediately,Sit upright and stay calm,Avoid smoke and strong odors,Practice pursed-lip breathing
Bronchitis,Use a humidifier at night,Drink warm honey lemon water,Avoid cold drinks and smoking,Take prescribed antibiotics
Pneumonia,Complete full course of antibiotics,Get plenty of bed rest,Use breathing exercises,Stay warm and avoid cold air
Gastroenteritis,Drink ORS solution frequently,Eat bland foods like rice/banana,Avoid dairy and spicy foods,Rest your digestive system
Urinary Tract Infection,Drink cranberry juice daily,Increase water intake significantly,Use heating pad for pain relief,Take prescribed antibiotics
Dengue,Monitor platelet count regularly,Stay hydrated with coconut water,Get complete bed rest,Avoid NSAIDs like ibuprofen
Malaria,Take antimalarial drugs as prescribed,Use mosquito nets for prevention,Stay hydrated and rest,Monitor fever patterns
Typhoid,Take full antibiotic course,Consume soft easily digestible foods,Avoid solid foods initially,Stay isolated to prevent spread
Tuberculosis,Complete 6-month treatment course,Take medications on time daily,Use mask to prevent spread,Eat high protein nutritious food
Arthritis,Apply warm compress to joints,Do gentle stretching exercises,Take anti-inflammatory foods like turmeric,Maintain healthy weight
Diabetes,Monitor blood sugar regularly,Follow low glycemic diet,Exercise for 30 minutes daily,Avoid sugary foods and drinks
Hypertension,Reduce salt intake significantly,Practice stress management techniques,Exercise regularly like walking,Limit alcohol and caffeine
Heart Disease,Follow heart healthy diet,Take prescribed medications regularly,Avoid smoking and alcohol,Do light walking exercise daily
Anemia,Eat iron-rich foods like spinach,Take vitamin C with iron supplements,Include lean red meat in diet,Avoid tea/coffee with meals
